Census Tract,Loan Amount
21111011603,275000
21111012407,135000
21111006900,215000
21111012410,135000
21111012302,155000
21111011520,345000
21111011508,95000
21111010406,285000
21111012411,205000
21111007700,215000
21111007000,165000
21111011907,155000
21111012408,135000
21111011113,185000
21111012202,115000
21111011603,295000
21111011603,295000
21111010312,475000
21111011508,225000
21111012105,165000
21111012204,225000
21111012411,225000
21111009800,125000
21111012203,175000
21111011302,145000
21111011515,175000
21111011002,115000
21111011403,135000
21111011708,315000
21111011712,165000
21111011102,145000
21111012105,215000
21111009106,95000
21111012604,115000
21111012701,145000
21111011515,185000
21111011603,295000
21111011706,135000
21111011106,155000
21111011106,155000
21111009900,125000
21111011505,115000
21111012604,115000
21111011302,115000
21111006600,225000
21111009300,195000
21111012408,135000
21111012301,125000
21111009300,155000
21111011519,295000
21111012302,155000
21111012407,205000
21111010102,115000
21111011113,155000
21111010307,335000
21111011519,215000
21111010601,255000
21111011505,125000
21111011706,195000
21111011302,115000
21111011004,135000
21111009106,95000
21111011112,215000
21111012203,165000
21111011708,335000
21111011904,125000
21111012703,115000
21111012001,145000
21111011709,305000
21111011519,185000
21111011004,245000
21111012406,125000
21111012801,65000
21111011519,255000
21111009800,125000
21111012103,135000
21111007100,155000
21111011514,225000
21111004301,125000
21111004301,125000
21111011509,115000
21111010319,55000
21111009300,155000
21111010007,285000
21111009400,215000
21111011106,295000
21111008100,185000
21111012409,135000
21111012302,275000
21111001200,75000
21111011509,95000
21111000400,45000
21111011508,55000
21111003700,25000
21111012406,95000
21111012409,75000
21111012001,255000
21111012703,135000
21111011509,85000
21111012701,125000
21111011604,525000
21111011711,125000
21111011709,295000
21111010006,145000
21111010800,245000
21111011708,175000
21111010307,195000
21111012107,125000
21111007100,135000
21111007502,1095000
21111010705,315000
21111012203,215000
21111005100,105000
21111002700,105000
21111011707,175000
21111010902,175000
21111010001,215000
21111012802,65000
21111012411,95000
21111012410,285000
21111012105,105000
21111011302,65000
21111010311,125000
21111007501,335000
21111011800,105000
21111010309,265000
21111010311,185000
21111012604,135000
21111012503,75000
21111010316,295000
21111010312,325000
21111010309,295000
21111010319,205000
21111011906,155000
21111007502,485000
21111001400,55000
21111012407,55000
21111010312,55000
21111009400,355000
21111011508,115000
21111011109,85000
21111010705,55000
21111011709,325000
21111004100,55000
21111010705,125000
21111010601,265000
21111012002,15000
21111011301,45000
21111011506,155000
21111010318,95000
21111002400,75000
21111011002,105000
21111001400,115000
21111010403,285000
21111010005,185000
21111010406,225000
21111011109,245000
21111011603,275000
21111009400,155000
21111011513,105000
21111011904,75000
21111012003,195000
21111005600,125000
21111012601,135000
21111010320,115000
21111010102,245000
21111005200,165000
21111010307,415000
21111007900,315000
21111009900,295000
21111011505,195000
21111011708,215000
21111012408,145000
21111012408,145000
21111012001,75000
NA,45000
21111001600,65000
21111010313,175000
21111007501,545000
21111010316,395000
21111010402,255000
21111011709,305000
21111010901,95000
21111010402,255000
21111010402,265000
21111008800,305000
21111011709,195000
21111010406,215000
21111011520,305000
21111004600,115000
21111010500,285000
21111011004,225000
21111010705,185000
21111012203,225000
21111007502,175000
21111006400,295000
21111007700,225000
21111005200,415000
21111009400,155000
21111011707,205000
21111010318,275000
21111010314,125000
21111010405,115000
21111010008,135000
21111010307,515000
21111010316,455000
21111011601,205000
21111010309,125000
21111011406,65000
21111011106,35000
21111011106,95000
21111011405,65000
21111012204,15000
21111011708,205000
21111010103,105000
21111011003,125000
21111010307,255000
21111008700,255000
21111010702,305000
21111011102,125000
21111011404,145000
21111011403,95000
21111007700,805000
21111012411,185000
21111011710,215000
21111011711,235000
21111012106,225000
21111010702,265000
21111007000,195000
21111011709,235000
21111010312,925000
21111010406,305000
21111011708,225000
21111010307,285000
21111011708,325000
21111010103,185000
21111008500,375000
21111010104,245000
21111004400,105000
21111010705,135000
21111007800,75000
21111004302,95000
21111010800,265000
21111011707,85000
21111011513,145000
21111010307,205000
21111007501,395000
21111011708,245000
21111009106,135000
21111010406,205000
21111010307,265000
21111008900,215000
21111007900,285000
21111012601,135000
21111011003,95000
21111010705,115000
21111010402,125000
21111012204,205000
21111011003,155000
21111010317,495000
21111011907,145000
21111004600,135000
21111010102,235000
21111011513,155000
21111011711,135000
21111001100,75000
21111011708,225000
21111011706,185000
21111011111,165000
21111007100,125000
21111007602,105000
21111012106,75000
21111012604,105000
21111011513,145000
21111010705,295000
21111011302,65000
21111010307,365000
21111011708,225000
21111011506,125000
21111011114,125000
21111006200,245000
21111011004,215000
21111012502,135000
21111009106,155000
21111010406,235000
21111010307,545000
21111012601,125000
21111010307,355000
21111011603,295000
21111011518,355000
21111011405,135000
21111010406,85000
21111012203,155000
21111007502,265000
21111011110,15000
21111011109,125000
21111010316,285000
21111011905,115000
21111010705,255000
21111011515,225000
21111011515,225000
21111009000,65000
21111012302,205000
21111011505,115000
21111004302,135000
21111011110,255000
21111007900,85000
21111001400,115000
21111011709,265000
21111001600,45000
21111011514,545000
21111002800,25000
21111010403,265000
21111003700,75000
21111003600,65000
21111011004,65000
21111010314,375000
21111011905,55000
21111006500,115000
21111004100,125000
21111008700,175000
21111010901,65000
21111011405,45000
21111007601,355000
21111002800,25000
21111011005,125000
21111010007,205000
21111012603,155000
21111007502,255000
21111008400,125000
21111010901,85000
21111012409,25000
21111010406,205000
21111010901,165000
21111010311,95000
21111009106,215000
21111011707,145000
21111004600,95000
21111011601,255000
NA,55000
21111007501,435000
21111012408,85000
21111012703,75000
21111007000,125000
21111011508,175000
21111010403,215000
21111010102,515000
21111010316,305000
21111007501,115000
21111007900,205000
21111011519,25000
21111012801,115000
21111009300,55000
